"Entity","Month","Total_lockdown_length","Total_stay_at_home_requirements","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support","Monthly_workplace_closures_severity","previous_month_connected_lockdown","long_lockdown"
"Sweden","2020-06",0,30,30,83.9111042,60,30,0,0
"Sweden","2020-07",0,31,31,25.17333105,62,31,0,0
"Sweden","2020-08",0,31,31,6.67474696,62,31,0,0
"Uruguay","2020-01",0,0,0,0,0,0,0,0
"Uruguay","2020-02",0,0,0,0,0,0,0,0
"Uruguay","2020-03",0,19,19,0,14,17,0,0
"Uruguay","2020-04",11,30,41,4.42365234,30,30,0,11
"Uruguay","2020-05",0,31,31,2.06437106,31,31,0,0
"Uruguay","2020-06",0,30,30,1.4745508,30,30,0,0
"Uruguay","2020-07",0,9,9,2.35928128,32,31,0,0
"Uruguay","2020-08",0,1,1,2.65419142,62,31,0,0
