measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,72,New Zealand,3,Both,22,All ages,558,Mental disorders,1,Number,2019,285564.0841192072,321106.1543506675,257037.547652824
6,Incidence,72,New Zealand,3,Both,22,All ages,558,Mental disorders,1,Number,2020,302556.3778224086,369121.21119557065,253119.6068092165
6,Incidence,72,New Zealand,3,Both,22,All ages,558,Mental disorders,1,Number,2021,303535.6018232961,369885.9188003407,253939.857945431
6,Incidence,98,Chile,3,Both,22,All ages,558,Mental disorders,1,Number,2017,1092227.1393341953,1250668.691364686,967250.6993515188
6,Incidence,98,Chile,3,Both,22,All ages,558,Mental disorders,1,Number,2018,1100628.6184174514,1269420.2035116674,973306.1168937164
6,Incidence,98,Chile,3,Both,22,All ages,558,Mental disorders,1,Number,2019,1114747.6494212097,1301333.4698142195,975955.1233498696
6,Incidence,98,Chile,3,Both,22,All ages,558,Mental disorders,1,Number,2020,1426079.7131613411,1819131.6602721645,1127189.425780783
6,Incidence,98,Chile,3,Both,22,All ages,558,Mental disorders,1,Number,2021,1392421.6934375237,1769739.8096050746,1114966.9517739443
6,Incidence,93,Sweden,3,Both,22,All ages,558,Mental disorders,1,Number,2017,689072.8005915773,767228.5378121099,626340.7031209439
6,Incidence,93,Sweden,3,Both,22,All ages,558,Mental disorders,1,Number,2018,693567.3306303102,772654.5087329671,631342.4298049334
6,Incidence,93,Sweden,3,Both,22,All ages,558,Mental disorders,1,Number,2019,698870.7704201922,780809.6601656076,631810.870631275
6,Incidence,93,Sweden,3,Both,22,All ages,558,Mental disorders,1,Number,2020,818659.2073443849,982857.0859135116,684821.9277202401
6,Incidence,93,Sweden,3,Both,22,All ages,558,Mental disorders,1,Number,2021,803367.550715667,956713.0537154012,672281.0544555243
6,Incidence,123,Peru,3,Both,22,All ages,558,Mental disorders,1,Number,2017,1115288.0807724246,1269331.7492247482,995109.4368362988
6,Incidence,123,Peru,3,Both,22,All ages,558,Mental disorders,1,Number,2018,1143548.3076272802,1305176.0525378406,1018211.7018806438
6,Incidence,123,Peru,3,Both,22,All ages,558,Mental disorders,1,Number,2019,1176274.6400203567,1358796.4508018438,1045823.0725108896
6,Incidence,123,Peru,3,Both,22,All ages,558,Mental disorders,1,Number,2020,1683854.9787714407,2054181.5258698468,1396607.0483926162
6,Incidence,123,Peru,3,Both,22,All ages,558,Mental disorders,1,Number,2021,1641639.3735174534,1999218.268333149,1364695.0984437638
