Entity,year_month,monthly_avg_deaths,Indicator,violence_indicator,unemployment_rate
iceland,2020-03,0.1211682451612903,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,77,4
iceland,2020-04,0.7262016686666667,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,102,10
iceland,2020-05,0.024233649,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,107,15.333333333333334
iceland,2020-06,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,91,6
iceland,2020-07,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,77,8.666666666666666
iceland,2020-08,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,79,9.333333333333334
latvia,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,12,47.333333333333336
latvia,2020-01,0,Sexual violence by IPFM* (domestic violence): Female victims,3,47.333333333333336
latvia,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,10,47.333333333333336
latvia,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,14,47.333333333333336
latvia,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,13,49.333333333333336
latvia,2020-02,0,Sexual violence by IPFM* (domestic violence): Female victims,7,49.333333333333336
latvia,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,10,49.333333333333336
latvia,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,11,49.333333333333336
latvia,2020-03,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,10,51.333333333333336
latvia,2020-03,0,Sexual violence by IPFM* (domestic violence): Female victims,7,51.333333333333336
latvia,2020-03,0,Physical asault by IPFM* (domestic violence): Male victims,6,51.333333333333336
latvia,2020-03,0,Physical asault by IPFM* (domestic violence): Female victims,9,51.333333333333336
latvia,2020-04,0.205056352,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,11,55
latvia,2020-04,0.205056352,Sexual violence by IPFM* (domestic violence): Female victims,3,55
latvia,2020-04,0.205056352,Physical asault by IPFM* (domestic violence): Male victims,6,55
latvia,2020-04,0.205056352,Physical asault by IPFM* (domestic violence): Female victims,7,55
latvia,2020-05,0.2008915341935484,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,14,56
latvia,2020-05,0.2008915341935484,Sexual violence by IPFM* (domestic violence): Female victims,2,56
latvia,2020-05,0.2008915341935484,Physical asault by IPFM* (domestic violence): Male victims,8,56
